,nickname,created,review
2392,김황필,2020.09.09 18:45,푸~~~~~욱 빠져듭니다. 추천합니다. 최근 오디오북중 최고입니다. 
2393,박경희,2020.09.04 18:35,정말  시간 가는줄 모르게 읽었어요 good~
2394,Ha은주,2020.09.03 17:00,시간가는줄모르고 읽었어요
2395,김수희,2020.08.30 10:26,가슴벅차게하네요
2396,백미하,2020.08.28 21:36,읽을만해요 추천합니다
2397,오혜원,2020.08.28 12:39,우림이는 천재예요!
2398,김현숙,2020.08.27 10:36,와우~~~역시 김진명~~^^
2399,원호!!,2020.08.26 13:23,책 사러 가야 겠다
2400,서지영,2020.08.24 09:25,완전 몰입해서 1권 듣다가 책을 구매해서 다 읽었어요
2401,Andy Eugene,2020.08.22 03:57,마치 책속에 제가 들어가 있는 느낌이었습니다. 탄탄한 스토리에 성우분들의 목소리까지 정말 최고였어요!! 감동입니다~
2402,김정희,2020.08.19 22:25,??
2403,김가영,2020.08.17 15:58,소설은 처음 듣는데 라디오 드라마 같았어요 굳!
2404,윤지영,2020.08.16 15:10,"너무 재밌어요!
푹빠져서 두번들었네요!
직지2 ㄱㄱ"
2405,.,2020.08.13 12:12,"공원 걸으며 들었는데 집중하다보니 걷기운동도 지루하지 않고 넘 좋았어요
직지 ~ 재밌네요"
2406,김애리,2020.08.12 13:20,"영화처럼그려지는 책이였어요.
정말 감동입니다."
2407,김영희 안젤라,2020.08.12 00:47,평소 좋아하는 김진명 작가님 책을 오디오북으로 들으니 영화와 같이 머리속에 그려지는게 너무 재미있어서 시간가는줄 모르고 들었어요.
2408,♡현주♡,2020.08.11 19:24,"오디오북 첫번째로 들었어요
한번듣고는 멈출수가 없은 스토리였고 직지를 다시 생각할수있는 기회였어요
출퇴근시간으로 들었는데  시간가는줄 몰랐네요  잘들었습니다^^

"
2409,ㄱ 박희진,2020.08.11 16:20,내용도 너무 재밌고 성우님들 목소리가 편안해서 마치 라디오 드라마를 듣는 것 같았어요
2410,마요,2020.08.10 17:28,너무 재밌게 잘 들었습니다. 과거를 상상한 스토리는 따로 책으로 나왔으면 싶을 만큼 흥미로웠어요. 좋은 이야기 감사합니다.
2411,김명환,2020.08.09 10:58,좋은 소재와 스토리 확 빨려드는 스피드한 전개   최고의 명작입니다. 김진명 작가님 정말 대단하시네요!!!!  (명품성우 포함) 이작품 강추 입니다
2412,☕️,2020.08.08 22:35,내용이 탄탄! 모든게 다 좋았습니다
2413,hj agnes,2020.08.06 01:51,흥미롭게 시간가는줄 모르고 들었어요^^
2414,★권혜영,2020.08.05 05:45,"소설을 통해 직지의 새로운 사실을 알게되고,  더욱 관심을 가질 수 있게 되었습니다.  직지와 한글에 대해 다시금 생각 할 수 있는 좋은 시간이였습니다."
2415,인서맘,2020.08.01 23:21,오디오북 처음인데 와우~시간 가는줄 모르고 듣고 있네요~빠져드는 스토리 최곱니다~^^
2416,홍준호,2020.08.01 08:51,개인적으로 작가님 소설 좋아했는데  요즘 정치적인 글을 남기시는것에 조금 실망스럽네요. 소설가로서의 본분에 충실하셧으면좋겟네요
2417,,2020.07.30 21:04,넘 재미있게 들었습니다.  스토리가 매우 흥미롭네요.   성우님들도 넘넘 찰떡같이 잘 어울렸어요!  연기력 최고!!! 
2418,김동연,2020.07.29 13:32,최고
2419,박현숙,2020.07.28 15:12,오디오북은 처음인데 좋아하는 작가님 소설을 귀로들으니 훨씬 실감나고 재밌네요 
2420,박인선 ,2020.07.26 13:00,아주 재밌게 들었어요. 원래 오디오북을 좋아해서 리디북 어플 매려받아서 듣고 다른 독서어플도 다운로드 받아서 AI 목소리로 듣다가 성우분이 읽어주시니 더 몰입이 잘 되고 좋아요. 걸어다니면서도 노래듣듯이 듣다보니 한권이 순식간에 끝나네요. 한권듣고 바로 정기 구독합니다.
2421,aejuka,2020.07.24 21:10,이거 진짜 흥미롭습니다 굿굿굿이에여
2422,안지순,2020.07.24 14:51,라디오드라마 듣는거 같네요. 성우분들 연기력도 좋구.. 무엇보다 흥미롭고 애잔한 슬픔도 있어요. 
2423,조성현,2020.07.22 19:29,넘  재미있게 들었습니다
2424,박진영,2020.07.19 22:23,굿
2425,지녹,2020.07.18 12:11,긴장감이 계속 듣게하는 마력
2426,김준용,2020.07.17 21:47,정말 내용구성이 소름돋습니다 그리고 여기자와 남교수의 주고 받는 연기가 정말 끝까지 긴장과 재미른 줍니다 성우분들의 열정에 찬사를 보냅니다 정말 이런 멋진 작품을 선사해준 김진명 작가와 성우분들께 감사드립니다
2427,NARA '◡',2020.07.17 17:44,오 너무 재밋어요. 미드 보는줄! 성우분 목소리도
2428,서애신,2020.07.17 11:25,아직도. 빠져서 못나오고 있네요 ~~^^
2429,철인28호민 : ),2020.07.16 16:33,"전에 직지에 관한 다큐를 보아서 인지, 낯설지않는 얘기를 어느새 귀담아 듣고있는 나를 보았습니다.
좋은 소설 감사합니다."
2430,안소희,2020.07.16 10:55,"김진명작가님의 내공이 느껴지네요.
오랫만에 좋은 소설 접했습니다."
2431,조은희,2020.07.15 21:42,좋아요
2432,규리,2020.07.14 21:37,오디오북 입문용으로 너무 잘 들었습니다. 몰입이 잘 됩니다.
2433,박찬실,2020.07.13 15:56,정말 재밌게 듣고 있어요. 흥미진진이란 걸 오랜간만에 느껴봅니다.
2434,최소명,2020.07.10 14:59,"남녀 등장인물이 성우도 다르고 배경음악도 있네요
녹음에 많이 신경써 주신 것 같아요
라디오 드라마 듣는 것 같네요 "
2435,오주영,2020.07.09 00:51,감동입니다!
2436,이기언,2020.07.08 09:22,몰입도 짱이네요!
2437,DAIN : ),2020.07.07 21:54,좋아요
2438,최상환,2020.07.07 15:44,좋아요 
2439,이난희 (음)7/9,2020.07.04 13:28,좋아요
2440,최덕호,2020.07.03 23:37,정말 좋네요.
2441,(주)한국메디큐브 since2003,2020.07.03 22:38,짱이다
2442,주현희,2020.07.02 08:45,넘 흥미롭고 재있었어요.^^
2443,언제나 흐리고 우울...,2020.07.01 13:09,최고입니다  몰입감 최고
2444,유진호,2020.06.30 15:32,와우
2445,정미연,2020.06.30 13:25,"라디오드라마 듣는것 같아요^^
멈추기 힘드네요"
2446,한승이,2020.06.29 08:35,직지
2447,김보민,2020.06.29 06:12,"너무 재미있어요 몰입도 최고예요
김진명 작가님 여러 작품들을 오디오북에서 만날 수 있었으면 좋겠어요"
2448,Lue wie,2020.06.29 03:13,احب هذا النوع من الكتب انه رائع 
2449,안현숙~♡,2020.06.28 11:04,여운이남는 책이였어요 재미있었습니다
2450,황정임소화데레사010.89974224,2020.06.27 17:22,작품속으로 빠져 들게하는 묘한 매력이 있어 단숨에 들었어요~^^
2451,박현수,2020.06.27 06:19,듣느라 밤을 새버렸네요 최곱니다
2452,sanghee,2020.06.27 02:41,생각보다 너무 좋았어요
2453,김민성,2020.06.25 03:31,"김진명작가님 고구려 다읽고 천년금서도 읽었습니다 정말 존경하시는분이죠! 직지도 몰입도조좋고 재밌네요!! 역시!!
고구려나 천년의금서도 오디오북으로 나오면 진짜 너무 행복할꺼같네요 감사합니다!"
2454,파타야짜이디,2020.06.24 08:24,넘조오타
2455,Namoon,2020.06.24 02:32,진짜 몰입감 어마어마 합니다. 너무 잘 들었고 이런 작품을 만들어주신 김진명 작가님과 윌라 관계자 분들께 감사드립니다.
2456,설재민,2020.06.21 03:18,소름 돋는 최고 소설
2457,이형준,2020.06.18 22:38,소설보다는 다큐멘터리같은....지식전달+개인적견해 전달을 위한 스토리... 
2458,고종식,2020.06.17 01:39,최고입니다.
2459,박현지,2020.06.17 01:24,재미는 있는데 스토리를 질질 끄는 느낌도 있고 간간히 은근한 여혐도 듣는 동안 좀 짜증나게 하네요. 그래도 김진명 소설다운 퀄의 작품입니다. 
2460,홍상탁,2020.06.14 20:39,"진실과 허구의 조화는 김진명 작가님의 최고의 능력이신듯 합니다.
그로인해 작품에 빠져들어 무한한 재미와 감동을 얻었습니다"
2461,신미경,2020.06.14 11:52,"책 읽을 시간이 없었는데
이제는 음악이 아니라 책을 듣게되네요"
2462,ㄱ김지은,2020.06.14 00:21,성우분들의 연기에 조금더 집중해서 들을수있었습니다!! 직지 너무 재밌네요
2463,♡카라빌♡,2020.06.12 09:35,정말 재미있어요~^^
2464,이성희,2020.06.10 20:40,"작가님의 역량이 빛나는 명작이네요.
시작부터 마무리까지 감탄하며 하루동안 두권을 다 들었습니다.
최고예요^^"
2465,서정준,2020.06.10 02:36,"한자와도 재밌게 들었는데, 이것도 성우랑 분위기, 효과가 비슷해서 너무 좋아요.
마지막에 성우와 작가와의 대화도 좋았습니다. 독자이면서 전달자."
2466,-,2020.06.10 01:52,재밌어요. 일하면서 듣기 좋음. 한명이 여러명의 목소리를 내는게 아니라 목소리 구분이 쉬워 이해가 잘됨.
2467,김우순,2020.06.08 16:35,직지
2468,박수빈,2020.06.01 23:46,흥미진진했어요 ㅋㅋㅋ
2469,Hong 승희&명희,2020.05.21 18:56,"어릴 때, 듣던 라디오극장이 생각났어요."
2470,김명윤,2020.05.12 07:53,"김진명작가님의 소설을 오디오북으로 들으니, 새롭습니다. 매작품을 읽을때마다 우리나라 사람임이 자랑스럽다고 생각하게 됩니다. 항상 좋은작품 써주셔서 감사합니다."
2471,천호정,2020.04.30 23:51,자부심을 고취시켜 주는 명작이네요
2472,조혜진,2020.04.26 22:08,그런데 사건현장에서 나온내용 듣자말자 알것같은 내용을 기자나 형사는 왜 그걸 늦게 깨닫지 하는 느낌...ㅋ
2473,진웅,2020.04.23 08:10,연극을 보는거 같아요 내용도 엄청 재밌고 작가님 성우분들 감독님 모두 감사드립니다
2474,규리,2020.04.21 14:22,너무 재밌습니다~최고 
2475,잠꼬대,2020.04.18 17:01,"김진명님 다른 소설도 오디오북으로 좀 올려주세요~
하나밖에 안나오던데"
2476,이원석,2020.04.07 20:59,김진명 작가님 펜입니다. 성우분들 정말 수고하셨어요. 정말 푹 빠져서 들었습니다.
2477,신원재,2020.04.06 21:24,한국식 다빈치코드
2478,허재범,2020.04.06 14:09,재미있게 잘 들었습니다. 김진명작가님 책은 사실과 허구 중간이어서 언제나 재밌게 보고있습니다. 댄브라운이랑 김진명작가님 책 좋아요 ㅎㅎ
2479,박유환,2020.04.02 19:34,이런 컨텐츠와 퀄리티 오디오북을 더 만들어주세요
2480,홍성용,2020.04.02 05:43,어느부분에어 국뽕이 강한건지 못느끼겠는데 오준엽님은 어디서 그런점을 느끼셨나요?
2481,오준엽,2020.03.30 21:29,1권이 2권보다 재밌었던거 같아요. 국뽕 강한거 빼곤 들을만 함다^^;
2482,최현아,2020.03.21 09:13,이건 진짜 성우가 다했다 짱
2483,썬샤인,2020.03.17 03:25,아개소름
2484,sung kyeong._.,2020.03.16 21:11,정말 재밌어요!! 읽을 시간 없는 직장인인데 일하면서 듣는데 이야기 속에 푹 빠져 들었어요
2485,이영진,2020.03.07 20:05,성우들의 낭독 굿굿. 
2486,이채영,2020.03.07 01:53,소설 자체는 물론이고 성우님들의 대단한 열연에 쉬지않고 들었습니다 감사합니다
2487,☆,2020.03.06 01:17,역시 김진명인가..
2488,준,2020.02.28 23:31,"진짜 좋아요 김진명 작가님은 물론이고 낭독해주신 엄현정, 김상백, 이승준 성우님들 정말 감사합니다! 정기구독할게요!"
2489,쭈~^^,2020.02.27 00:51,"
너무 잼있어요.최고"
2490,황영호,2020.02.23 19:27,"김진명 작가님의 사실에 그거한 추리 매번 상상 초월이고 성우님들 실감나게 표현 잘 한것 같아요 ᆢ
무료체험 중인데 정기구독 해야겠습니다
생각보다 오디오북 최고네요 ㅋㅋ"
2491,강수정,2020.02.23 00:24,미리듣기로 한번 들어보고 바로 정기구독 신청하고 바로 완청했습니다! 몰입감과 역사적호기심을 부여하네요. 성우님들과 마찬가지로 저도 구텐베르크 초상화를 바로 검색해봤습니다 ㅎㅎ
2492,,2020.02.17 10:32,"우와... BGM하며 성우들 연기력 하며...
진짜 이건 상줘야되요!!! 너무 좋습니다"
2493,현기,2020.02.16 01:03,재밋게 잘 듣고있어요
2494,최 ssi~~☆,2020.02.12 13:40,최고
2495,박준호,2020.02.06 18:54,"역시 김진명 작가님 믿는 작가
잼있게 듣고 시간이 아깝지 않아요"
2496,선혜경,2020.01.14 23:31,성우님의 목소리로 책을 읽는 것은 영화를 보는 듯한 착각이 들 정도 입니다.
2497,정수,2020.01.07 16:28,"소설 자체도 좋지만, 남녀 성우의 연기력, Bgm까지 지금까지 들은 오디오북중 최고입니다."
2498,BLISS,2020.01.07 07:57,진짜 라디오드라마같이 흥미진진~ 너무 재밋어요~~^^
2499,이경희,2020.01.06 00:40,김진명작가님 소설은 거의 다 읽었다고 생각 사는데 이번것도 진짜 잼나게 읽은게 아니고 들었네요 근데 김진명작가님 책에는 늘 독득하게 죽은 피해ㅏ는 꼭 나오는것 같네요 그리고 그걸 추리 하는 주인공 ..
2500,조은영,2020.01.04 19:37,와 너무 재밌어요
2501,박현희,2020.01.02 20:22,"차에서만 들었는데 집에 도착해서도  뒷얘기 궁금해 들었습니다 ~
성우님들덕에 라디오 드라마 듣는것같이 재밌었네요"
2502,주영화,2019.12.30 13:17,이 책을 많은 사람들이 보고 들었으면 좋겠어요
2503,유서인,2019.12.27 16:10,"너무ㅜ재미있어서 정주행했어요 
덕분에 직지에 대해서 자세히 알 수도 있었고 
책도 완독하고 좋은 기회였습니다..
"
2504,눈에넣어도안아픈남자,2019.12.12 10:04,끝이 흐리뭉텅함
2505,설민기,2019.12.08 00:25,이 책을 듣기 전으로 돌아가서 한 번 더 듣고싶어요 ㅜㅜ 오디오북 대박적..
2506,김현경,2019.12.04 11:53,정말시간이 어찌가는지 모르고 들었어요!사실을 근거로 쓴 소설 정말재미있어요
2507,나근호,2019.12.02 17:24,오디오북 대박 ㅎ
2508,이지민,2019.11.30 00:22,"역시 페이지가 넘어갈수록 빠져듭니다.
오디오북을 통해 출퇴근 짬짬이 듣다보니 하루 시작과 끝이 설레였어요 "
2509,전혜라,2019.11.26 17:00,"늘 다음 작품을 기다리게 하는...
이번엔 윌라덕분에 오디오북으로 만났습니다
또다른 느낌~ 감동입니다!!!"
2510,김영관(Albert),2019.11.15 16:16,글쎄요. 다 재미있다고 하는데 초반 너무 지지부진한 느낌때문에 답답하군요.
2511,김진석,2019.11.14 12:43,굿~
2512,이 준호,2019.11.11 13:25,"소설 읽고(듣고)  정말 엄청난 감동이었습니다.

책하고는 다른 입체적 상상이 들어와서 최고였습니다."
2513,김유림,2019.11.10 14:58,다읽었는데 가엾은 카레나가 아음에서 떠나지않아요 ^^
2514,박용철,2019.11.08 21:58,"너무 재미있어서 3일만에 1.2권 다 들었네요
간만에 책을 접하네요."
2515,나경환,2019.11.07 20:19,지금초반듣고 있는데 너무 기대되네요 
2516,류민아,2019.11.07 19:58,다음이 너무 궁금해서 다른 걸 잘 못했어요
2517,이소현(手善話),2019.11.03 00:45,몰입하여 들었습니다.책읽기를 싫어하는 저에게 오디오북은 큰 도움과 또하나의 도전이 됩니다
2518,신영재,2019.10.29 12:17,빠져든다 빠져들어....
2519,이주형,2019.10.29 05:37,앞으로 책을 잘 읽을수 있겠어요. 좋아요
2520,세은,2019.10.22 02:45,작가님 몰입해서 쉴새 없이 듣고 말았습니다 책도 구매하려고요! 역시 명불허전이세요ㅎㅎ 거기에 성우님들의 열연!! 정말 감사드립니다 그럼 전 얼른 2권 들으러 가겠습니다~ 
2521,김세환,2019.10.16 01:54,"솔직히 말하면 책을 이 핑계 저 핑계로 읽지 않던 사람인데, 정말 틈틈히 금방 다 들어버렸어요! 오디오북으로 들으니까 진입장벽도 낮아지고 흡입력이 대단해서 좋네요! 직지 2권도 빨리 들으러 가야겠어요 ㅜㅜ 너무 궁금해요"
2522,박지은,2019.10.15 18:18,"1권은 범죄 스릴러 좋아하시는 분이라면 많이 부족하게 느끼실듯. 그냥저냥 평범한... 
2권은... 역시 작가님의 특기가 드러납니다...
쫄깃쫄깃 말랑말랑하네요.
극화하는 걸 염두에 두긴 구성인듯 시나리오로 옮기기에 딱 좋겠네요."
2523,한승헌,2019.09.27 19:32,"제 귀가 이상한건지...주인공이 기연이었다가 지연이었다가 다시 기연이었다가 ㅋㅋㅋ
책은 넘 재밌네요~"
2524,문대현,2019.09.27 12:59,와...ㅋㅋ대박ㅋ
2525,박해석(Park hs),2019.09.25 17:42,역시..최고
2526,,2019.09.24 14:59,이렇게 재밌는 역사소설은 처음이다. 눈 깜빡할 사이에 다 읽을테니 중요한 일은 다 끝내두고 몰아 읽으세요!!
2527,김민성,2019.09.19 16:25,소설을 오디오북으로 들으면 이런 재미가 있는 거군요! 그냥 책을 듣는 것 이상의 경험이에요.
2528,오경희,2019.09.08 18:32,몰입감 최고입니다!
2529,조아라,2019.09.01 22:58,"윌라 가입하고 첫 책인데 너무 재밌어서 
푹 빠져서 들었네요~~
오디오북 이라니 너무 편리하고 좋은거 같아요^^"
2530,홍승현/지호아빠,2019.08.26 11:12,"출퇴근 시간에 차에서 듣는데 정말 재미있어요.
이것 땜에 출퇴근 시간이 기다려지내요^^"
2531,,2019.08.25 20:40,재미있게 들었습니다. 역시 명불허전이네요. 성우님들 낭독도 정말 좋았습니다!
2532,양해란,2019.08.25 13:47,하루만에 정주행 했네요. 역시 김진명소설답게 해박한 역사지식과 스팩타클하고 흥미진진한 전개로 시간가는줄 모릅니다. 성우들이 직접 독백이나 대화를 하니 더 재미있네요
2533,박경오,2019.08.23 20:51,와 몰입감 끝내주네요 읽고 싶던 책이었는데 오디오북으로 접하니 영화한편 본듯한 느낌입니다 ㅎㅎ
2534,윤수진,2019.08.22 16:17,2권 들으러 갑니다. 좋은 소설과 좋은 성우들의 연기가 잘 만난 결과물이 아닐까 생각합니다.
2535,고은미,2019.08.19 12:58,잠깐씩 들으려고 했는데 한번 들으면 멈출수 없네요. 직지에 대한 관심이 생겨서 다큐도 다 찾아보는중이에요.
2536,곰석원,2019.08.18 21:51,"진짜 오디오북이네요 .
완성도 좋아요~~
육아땜에 책 읽을 시간이 없었는데
감사해요 ^^"
2537,신미선,2019.08.18 19:43,Good!
2538,김정현,2019.08.17 16:39,너무좋았어요~
2539,홍기철,2019.08.17 06:32,너무 좋습니다 
2540,박대웅,2019.08.12 06:18,2권 나와라!!
2541,박선우,2019.08.11 19:41,박부자
2542,신소영,2019.08.10 16:19,"오오오.. 흡입력이 장난 없네요! 마치 수사극 드라마를 보는 것 처럼 너무 재밌어요!
14일에 2권이 나온다고 하니... 넘 기다려져요!!"
2543,backyoungduck,2019.08.09 10:22,"와 오디오북의 진가를 발휘한 작품인 것 같습니다. 주말에 넷플릭스와 티빙, 푹의 수많은 콘텐츠를 뒤로 하고 윌라로 직지를 듣게 되었다는 사실...오디오북이 이렇게까지 사람을 몰입시킬 수 있구나 하는 생각이 들었습니다. 너무너무 흥미진진합니다. 2권만 목을 빼고 기다리게 되네요 ^^"
2544,kimtim,2019.08.08 23:23,아아아~~~2권 언제나와용? 기대기대기대
2545,이성팔,2019.08.06 01:18,2권 언제나오나요??
2546,Minwoo Jin,2019.08.05 22:02,흥미진진하네요
2547,이혜정,2019.08.04 12:54,빨리 2권주세여ㅜㅜㅜ  빨리듣고싶어영ㅜㅜ
2548,박현진,2019.07.28 09:54,재밌게 듣고 있어요! 얼른 2권도 듣고 싶네요!
2549,윌라 오디오북,2019.07.25 23:35,@박소연 안녕하세요. 박소연 님. 직지 2권은 8월 14일에 오픈 예정입니다! 
2550,김윤지,2020.11.27 03:18,인스타그램 문구들을 옮겨놓은듯... 책이라고 하기 뭣하네요 
2551,쏘~,2020.11.23 08:38,좋아요~~~^^생각을하게되네요
2552,ㄱkim소리,2020.06.15 18:06,좋아요
2553,프루에바. erin,2019.11.03 00:39,부모와 가족에게 더없이 따뜻함을 선사하는 책~
2554,현지,2020.08.17 13:01,"초반은 위로가 되는 내용이 많아서 참 좋았는데 중간,후반은 연애.사랑.이별 얘기라서 ㅠ... 듣다가 껐습니다 "
2555,문혜림,2020.07.19 02:27,목소리가..ㅠ 너무 아쉽네요
2556,윤윤,2020.07.18 06:39,너무 우울하고 생각이 많았는데 너무 위로가 되고 너무 너무 좋은거같아요 딱 제가 원하는 책인거 같아요 진짜 너무 힐링이 되네요
2557,황선정,2020.07.15 19:29,"아무리 위로를 받고싶어도 이건 좀...,초반에는 괜찮은데 뒤로갈수록 글도 성우도 너무 느끼하고 부담스러워요 ㅋㅋ 그래도 끝을보는 스퇄이라 정말 어렵게 완독은 했어요"
2558,연정,2020.07.13 15:53,위로도 좋지만..2장에서 편지형식으로 읊으니 너무..정말.. 손발이 없어져버렸어요..
2559,소람,2020.06.11 14:30,"이런 글이 필요했어요 너무 지쳐서....

목소리와 속도 좋메요"
2560,눈에넣어도안아픈남자,2020.01.16 15:06,"40대에게는...
20대에게 먹히는 글"
2561,배대웅,2019.10.31 23:13,삶을 돌아보는 시간 좋았습니다
2562,임종민,2020.11.21 14:28,너무 좋았어요. 제가 놓치고 있던 독서법은 뭐가 있는지 깨달을 수 있는 귀중한 책입니다. 그야말로 독서의 모든것이였어요.
2563,이지혜,2020.11.12 13:20,오디오북이라는 형식이 정말 잘 어울리는 책입니다. 대화체의 문장이 편안하게 이해되서 좋았어요.책을 좋아하는 분께 강추. 저는 늘 듣던 틀에 박히지않은 독서에 대한 이야기가 참 좋았어요.
2564,한지원,2020.10.29 21:54,눈으로 읽었을 때는 별3개였는데 귀로 듣기에는 5점 이상
2565,임혜민,2020.10.04 23:10,"내용도 좋지만, 낭독해준 성우님들 덕분에 더 몰입해서 들을 수 있었어요! 나중에 눈으로도 읽어보려합니다."
2566,KANG SUNGMIN,2020.09.30 17:52,"윌라(오디오북)의 순기능
풍수지리학자 같은 인플루언서들보다 훨 낫다."
2567,ryujihea,2020.09.15 00:36,편하게 읽고듣고쓰고 좋아요
2568,인영실,2020.06.11 14:10,"책을 꾸준히 읽고는 있지만, 늘 책읽기에 대한 고민이 있어 독서법에 대한 책을 많이 읽었다. 이 책도 그런 이유로 선택했고, 윌라로  들으면서 종이책도 있으면 좋을것 같아서 종이책을 눈으로 읽으면서 귀로 윌라를 들었다. 지금까지 읽었던 독서법 중 가장 쉽게 고민을 해결해 준 책이라고 할 수 있다. 해왔던 것도 있고, 앞으로 해보고 싶은 것도 있다. 내가 고민했던 많은 문제들이 여기 있고, 그것에 대한 해결책도 있어서 읽고 나니 한결 맘이 가벼워졌다. 윌라 덕분에 좋은 책을 정말 빨리 읽을 수 있었다. "
2569,강선희,2020.06.01 11:40,"오디오북으로 듣기에 좋은 책이네요
딕션도 좋고 속도도 적당해서 집중해서 잘 들었습니다"
2570,이동준,2020.02.27 13:41,시간 없는 직장인들에게 정말 필요한 앱이군요~^^
2571,성환,2020.01.08 15:32,감사합니다! 
2572,이자영,2020.11.05 22:36,책으로도읽었었는데 윌라로 다시 들으니 반갑고 재미있었어요~
2573,상렬,2020.09.14 01:08,"성우분 목소리가 나쁘지는 않는데 딕션이 안 좋은것 같다. ㅅ,ㅊ 소리낼때 흐름을 깨는 느낌이다. 작가님은 무언가에 의해 자존감이 낮으신듯 싶고 자격지심이 있으신듯 싶다."
2574,contigo,2020.09.08 12:21,내가 나에게 무례했던 걸 깨닫게 해주었습니다^^ 나에게 주어진 소중한 일상을 당당하게!!!
2575,유나,2020.08.24 16:19,보면서 자꾸 머릿속에 물음표가 뜨는 책
2576,현,2020.08.20 18:34,댓글이 이상한 이유는 이상한 논리에 굳이 감정소모하지 말라는 책내용 때문인가^^ 
2577,DaesungJung,2020.08.16 07:12,나에겐 생각하지 않을 자유와 권리가 있습니다. 생각 없이 내뱉을 의무도 있구요. 
2578,lyj110830,2020.08.04 22:31,완독 못하고 꺼버렸어요 어지간해선 끝까지 들어보려했는데 작가님이 남녀피해의식이있으신거같고 말하고자하눈바를 정확하게 파악을 못하겠어요 
2579,Sarah Seong(희순),2020.07.27 17:21,뭘 말하려는 건지 분명하지가 않네요.  심리적인거면 좀 깊이있게 다뤄지길 기대했는데 그냥 개인적 생각을 강요하는 느낌
2580,ㅇㅇ,2020.07.27 15:06,저는 무척 공감되고 위로받은 책인것 같아요
2581,CHD,2020.07.20 08:40,시간낭비
2582,추영조,2020.07.11 18:23,여자여자여자
2583,훈.,2020.07.02 09:14,거절하기힘든성격때문에 들어봤는데...그냥 남녀편가르기 책 같아요..
2584,정블리,2020.07.01 11:15,성우님 덕분에 너무 재밌게 잘 듣고 있어요^^
2585,Ash,2020.06.24 13:51,"성우님 목소리덕에 계속들은것같네요..
내용이 다들 좋다고 해서 읽어볼까했던 책이였는데,
이게 답이다 정답이다 라기보단 상황에맞게
대처해나가는 바람으로 생긴 책인것같다는 생각이드네요
잘들었습니다"
2586,소진,2020.06.16 22:09,난 좋다
2587,최애리,2020.06.14 19:38,"현실적인 내용도 간혹있긴 했지만 
뭘 얘기 하고 싶은거지? 라는 생각이 자꾸만 들어서
저랑은 안맞는듯.."
2588,썬,2020.06.06 23:34,성우분 목소리가좋아용
2589,장수진,2020.06.04 17:44,"
왜 정치색이 이리강하지
작가님 참 좋아하는데 자신의 정치색은 지인들과 나누심이 어떤신지 귄하고 싶네요 
거북합니다."
2590,강윤호,2020.06.02 04:49,솔직히 얼평이나 자기외모 낮추면서 웃기는데 동참하는건 남자가 더많은것 같고 ..남성중심 권위 어쩌고하는데 오히려 작가님눈에 피해의식속에 그런 부분만 눈에 보이시는거 아닐까요 여성만 피해받는다는듯이 시작하시길래 그냥 껏습니다 보나마나 객관적이진 못한분 같아서여
2591,서녕이,2020.04.22 13:56,"시간낭비엿음 파트 5인가 무례한사람에게 대 처하는법잋나오는데 ㅡㅡ별로도움 안되고 실생활에 못 써먹을것같은 ..  별로 책이 도움되는 내용이없네요.
성우는 목소리좋은데"
2592,최중현,2020.04.17 07:38,여자뿐아니라 이런 유형에 남자들도 많다는걸 알아주세요 ㅠㅠ 약간 책 내용이 여자들만 그런생각한다는 단정적으로 얘기해서 조금 아쉬워요!!하지만 그런 점 만 빼면  너무좋네요!!
2593,오정숙,2020.03.13 16:05,시기적절한 책이었어요. 큰도움이 되었습니다.
2594,소람,2020.02.22 19:16,"오 왜이렇게 평점이 낮죠?
정말 좋은 책입니다 저희 부모님에게도 추천해요 감사합니다"
2595,H.H,2020.01.27 19:37,ㅋㅋㅋ악플웃기네 ㅋㅋㅋ 왜들 자들거리지 
2596,김성용,2020.01.06 09:04,ㅋㅋ 책에서 말하는 내용이 약간은 경계에 있는듯한대 아직까지는 저렇게 행동하면 욕먹을듯
2597,김용진1479,2019.12.28 12:08,"자기애적 여성주의 서적.
세상이 자신을 옥죄고 있다고 생각하는 여자에게 어울릴만한 책이다. 남자는 단순하고 하나같다라는 착각. 애석한 책이다."
2598,안상훈,2019.12.23 07:04,"인간관계 때문에 어려움을 겪는 사람들에게 도움될 거 같아요~
책도 재밌고 목소리도 좋아요~"
2599,,2019.12.20 10:02,"이 책이 무례하다
이 책을 들은 시간이 아깝다"
2600,남승민,2019.12.09 20:06,"처음엔 재미있게 들으려했는데, 좌편향된 정치색을 띠고, 공감이.전혀 안가고 박그네가 싸이코 패쓰라 공직자를.하면 안된다 이런말 듣고 바로 꺼버림, 심리학을 이야기하는건지, 좌편향된 정치색을 띠고 싶은건지,"
2601,미냉,2019.12.03 01:08,"비슷한 내용들도 있었지만 좋았습니다~
감사합니다."
2602,Sellie in ELLIE,2019.11.11 10:44,"책 내용에 따라 목소리에 변화가 있어야 할 텐데,
읽어 주시는 분이 시종일관 밝고 가벼운 목소리여서 좀 듣기 불편하네요.
내가 너무 예민하게 듣나 싶어서 그냥 들었는데,
'노예공관병(?)'이 자살 시도를 했다는 내용을 읽으면서도 날아갈 듯한 목소리여서 좀..
공감, 하고 계신 건가요?"
